"","LocationAbbr","Income","perc_strength","propstrength","adjstrength","perc_cardio","propcardio","adjcardio","perc_obese","prop_obese","adjobese","perc_excer","prop_excer","adjexcer","perc_fruit","prop_fruit","adjfruit","perc_veg","prop_veg","adjveg","vrich","region"
"225","UT","$75,000 or greater",40,0.409730503,16.38922013,62.5,0.411544046,25.7215029,21.9,0.412606433,9.036080889,30,0.412504579,12.37513738,32.5,0.410466358,13.34015664,13.4,0.411771757,5.517741549,1,"Western"
"226","VA","$15,000 - $24,999",25.5,0.152678995,3.893314367,40.3,0.15176984,6.116324551,34,0.158108319,5.375682847,15.2,0.150586701,2.288917862,47.8,0.151721949,7.252309157,31.2,0.148231511,4.624823151,0,"South"
"227","VA","$25,000 - $34,999",28.6,0.110636953,3.164216848,44.4,0.109907871,4.879909488,29.2,0.109411581,3.194818168,17.8,0.110006519,1.958116037,40.8,0.109030313,4.448436756,25.1,0.109967846,2.760192926,0,"South"
"228","VA","$35,000 - $49,999",31.9,0.142721669,4.552821242,50,0.142395345,7.119767254,32.4,0.142968628,4.632183549,22.3,0.142601043,3.180003259,42.3,0.142199651,6.015045231,20.9,0.142926045,2.987154341,0,"South"
"229","VA","$50,000 - $74,999",34.6,0.174806385,6.048300933,50,0.17455956,8.727978018,30.8,0.173091931,5.331231466,23.9,0.17535854,4.1910691,35.8,0.175527694,6.283891446,18.9,0.175080386,3.309019293,0,"South"
"230","VA","$75,000 or greater",37.1,0.419155998,15.55068753,59.2,0.421367383,24.94494909,25.2,0.416419541,10.49377244,27.2,0.421447197,11.46336375,36.2,0.421520394,15.25903825,15.1,0.423794212,6.399292605,1,"South"
"231","VT","$15,000 - $24,999",20.6,0.149647887,3.082746479,45.9,0.150089206,6.889094558,30.9,0.153616386,4.74674632,13.6,0.149041714,2.026967306,38,0.150336737,5.712796003,25.8,0.150065818,3.871698113,0,"Northeast"
"232","VT","$25,000 - $34,999",24.5,0.11993838,2.938490317,52.9,0.120651204,6.382448707,30.6,0.119266055,3.649541284,15.7,0.119729425,1.879751973,37.6,0.119704541,4.500890723,18.6,0.121105748,2.252566915,0,"Northeast"
"233","VT","$35,000 - $49,999",30.5,0.172975352,5.275748239,58.2,0.171944692,10.00718109,27.8,0.171324941,4.762833369,22.5,0.172491545,3.881059752,32,0.172496198,5.51987834,19.2,0.172444054,3.310925845,0,"Northeast"
"234","VT","$50,000 - $74,999",31,0.208626761,6.467429577,63.9,0.208073149,13.29587422,27.8,0.206742052,5.747429059,25,0.207666291,5.191657272,32.8,0.209428633,6.869259179,14.6,0.208424748,3.043001316,0,"Northeast"
"235","VT","$75,000 or greater",37.7,0.34881162,13.15019806,66.8,0.349241748,23.3293488,20.2,0.349050565,7.050821421,29.4,0.351071026,10.32148816,28.8,0.348033891,10.02337606,9.3,0.347959631,3.236024572,1,"Northeast"
"236","WA","$15,000 - $24,999",28.9,0.133402633,3.855336105,52.2,0.132486548,6.91579783,29.6,0.134040169,3.967589001,19.1,0.131976538,2.520751866,39.9,0.132297064,5.27865285,23.1,0.131289308,3.032783019,0,"Western"
"237","WA","$25,000 - $34,999",26.8,0.104989605,2.813721414,51.1,0.104877834,5.359257299,31.4,0.104732351,3.288595811,15.9,0.104337007,1.658958407,36.6,0.10492228,3.84015544,18.8,0.105171209,1.977218728,0,"Western"
"238","WA","$35,000 - $49,999",28,0.159390159,4.462924463,55.6,0.159742436,8.881679457,29.8,0.162054995,4.829238859,20.4,0.159438322,3.25254177,39.7,0.160189983,6.359542314,19,0.159853249,3.03721174,0,"Western"
"239","WA","$50,000 - $74,999",33.5,0.192567568,6.451013514,60,0.193261004,11.59566023,27.4,0.192655806,5.278769072,24.1,0.193565588,4.664930679,35.9,0.1917962,6.885483592,14.2,0.192348008,2.731341719,0,"Western"
"240","WA","$75,000 or greater",35.8,0.409650035,14.66547124,65.4,0.409632178,26.78994443,23,0.40651668,9.349883631,26.8,0.410682545,11.00629221,32.6,0.410794473,13.39189983,11.4,0.411338225,4.689255765,1,"Western"
"241","WI","$15,000 - $24,999",27.5,0.166928427,4.590531748,47.5,0.166440831,7.905939476,38.4,0.172210526,6.612884211,17.2,0.164654976,2.832065589,41.3,0.168349429,6.952831431,31.1,0.166777556,5.186781992,0,"Midwest"
"242","WI","$25,000 - $34,999",26.7,0.131254207,3.504487323,48.6,0.130984643,6.365853659,30.1,0.128842105,3.878147368,19.6,0.130721931,2.562149852,40.8,0.130377524,5.319402985,26.2,0.132623642,3.47473941,0,"Midwest"
"243","WI","$35,000 - $49,999",26,0.17321068,4.503477676,60.5,0.173215899,10.47956188,33.6,0.173263158,5.821642105,19.2,0.17353678,3.331906172,38.2,0.173178227,6.615408253,22.4,0.172987359,3.874916833,0,"Midwest"
"244","WI","$50,000 - $74,999",26,0.203724478,5.296836437,56.5,0.203026197,11.47098013,28.2,0.202526316,5.711242105,18.3,0.204053746,3.734183557,39.4,0.20215101,7.964749781,21,0.203149257,4.266134398,0,"Midwest"
"245","WI","$75,000 or greater",32.3,0.324882208,10.49369531,62.2,0.32633243,20.29787715,28.5,0.323157895,9.21,23.4,0.327032567,7.652562059,34.1,0.32594381,11.11468393,19.6,0.324462187,6.35945886,1,"Midwest"
"246","WV","$15,000 - $24,999",16.9,0.218831508,3.698252478,42.4,0.216165913,9.165434725,38.9,0.219105583,8.523207198,10.4,0.215223801,2.238327526,52.6,0.216880342,11.40790598,32.4,0.21464849,6.954611067,0,"South"
"247","WV","$25,000 - $34,999",20,0.140062598,2.801251956,49.9,0.140122308,6.992103164,41,0.139190262,5.706800741,13.1,0.140176896,1.836317341,46.7,0.139423077,6.511057692,21.9,0.140336808,3.073376103,0,"South"
"248","WV","$35,000 - $49,999",24.7,0.187793427,4.638497653,47.9,0.18877958,9.042541877,33.2,0.190791215,6.334268325,15.8,0.189225409,2.989761458,51.5,0.189102564,9.738782051,23.2,0.187383053,4.347286822,0,"South"
"249","WV","$50,000 - $74,999",18.5,0.180229525,3.334246218,50,0.179739431,8.98697155,39.4,0.180206404,7.10013231,11.8,0.179844546,2.122165639,45.7,0.181356838,8.288007479,21,0.181234964,3.805934242,0,"South"
"250","WV","$75,000 or greater",32.4,0.273082942,8.847887324,55.2,0.275192768,15.19064079,33.9,0.270706536,9.176951574,22.9,0.275529349,6.309622085,42.7,0.273237179,11.66722756,18,0.276396685,4.975140337,1,"South"
"251","WY","$15,000 - $24,999",27.3,0.171651495,4.686085826,49.8,0.167813658,8.357120169,35.9,0.173723377,6.236669233,19.5,0.168539326,3.286516854,45.1,0.169791667,7.657604167,25.9,0.168164992,4.355473295,0,"Midwest"
"252","WY","$25,000 - $34,999",34.3,0.120416125,4.130273082,53.9,0.120698782,6.505664373,31.3,0.123171671,3.855273287,26.1,0.119850187,3.128089888,48.5,0.12109375,5.873046875,26.6,0.120306716,3.200158646,0,"Midwest"
"253","WY","$35,000 - $49,999",34.1,0.17243173,5.879921977,53.8,0.172578084,9.2847009,30.1,0.168847832,5.082319733,24,0.171482076,4.115569823,41.4,0.172135417,7.12640625,17.9,0.173188789,3.100079323,0,"Midwest"
"254","WY","$50,000 - $74,999",30.5,0.194018205,5.917555267,55.9,0.19454738,10.87519852,28.6,0.19296895,5.518911984,23.2,0.1952916,4.530765115,42.6,0.193489583,8.24265625,19.7,0.194341618,3.828529878,0,"Midwest"
"255","WY","$75,000 or greater",34.7,0.341482445,11.84944083,56.5,0.344362096,19.45645844,25.2,0.34128817,8.600461894,24.7,0.344836811,8.517469235,39.4,0.343489583,13.53348958,17.3,0.343997885,5.951163406,1,"Midwest"
"256","LA","$75,000 or greater",21.3,0.19680851,2.295946,52.8,0.43691149,11.822823,40.6,0.13894812,6.222623,25.6,0.15335388,10.161504,36.9,0.48839675,6.916326,10.1,0.17822432,3.874917,1,"South"
