"","LocationAbbr","Income","perc_strength","propstrength","adjstrength","perc_cardio","propcardio","adjcardio","perc_obese","prop_obese","adjobese","perc_excer","prop_excer","adjexcer","perc_fruit","prop_fruit","adjfruit","perc_veg","prop_veg","adjveg"
"22","CA","$25,000 - $34,999",31.2,0.113360829896263,3.5368578927634,52.8,0.114124293785311,6.02576271186441,30.2,0.113205351948807,3.41880162885398,21,0.113837591702504,2.39058942575259,36.6,0.112928632012601,4.13318793166121,20.7,0.112550907071455,2.32980377637912
"23","CA","$35,000 - $49,999",34.6,0.13535808023997,4.68338957630296,55.3,0.135467671060891,7.49136220966729,27.4,0.134729493891798,3.69158813263525,23.2,0.135213761699975,3.13695927143941,36.9,0.135950563431479,5.01657579062159,21.5,0.13525854621745,2.90805874367518
"24","CA","$50,000 - $74,999",34.5,0.156355455568054,5.39426321709786,57.8,0.156936597614564,9.07093534212178,25.4,0.158347876672484,4.02203606748109,23.2,0.156589931697445,3.63288641538072,36.3,0.156064461407973,5.66513994910941,17.9,0.156115019128718,2.79445884240405
"25","CA","$75,000 or greater",38.6,0.437195350581177,16.8757405324334,64.6,0.436911487758945,28.2244821092279,19.1,0.43630017452007,8.33333333333333,28.1,0.437389324563623,12.2906400202378,33.8,0.435962680237489,14.7355385920271,13.1,0.43712205356041,5.72629890164137
"26","CO","$15,000 - $24,999",29.6,0.152757977848448,4.52163614431407,55.7,0.152263374485597,8.48106995884774,22.5,0.154076986754967,3.46673220198676,22.1,0.151059773466412,3.33842099360772,38.8,0.154680991010743,6.00162245121684,24.4,0.153300055463117,3.74052135330006
"27","CO","$25,000 - $34,999",31.6,0.108674196732098,3.43410461673429,55.4,0.109220331442554,6.05080636191747,23.7,0.108754139072848,2.57747309602649,21.5,0.108893125490636,2.34120219804867,38.6,0.107761455821092,4.15959219469415,21.3,0.108485856905158,2.31074875207987
"28","CO","$35,000 - $49,999",34.8,0.160982563877618,5.60219322294111,58,0.161717272828384,9.37960182404627,21.5,0.159561258278146,3.43056705298013,25.6,0.161040708758551,4.12264214421891,36.9,0.162464371848279,5.99493532120149,16.3,0.161397670549085,2.63078202995008
"29","CO","$50,000 - $74,999",34.7,0.186314288847461,6.46510582300691,63.5,0.186186186186186,11.8228228228228,21.9,0.183671357615894,4.02240273178808,25.6,0.186721991701245,4.78008298755187,34.2,0.184718263538698,6.31736461302346,15.6,0.185690515806988,2.89677204658902
"30","CO","$75,000 or greater",41.6,0.391270972694374,16.276872464086,69.1,0.39061283505728,26.991346902458,17.4,0.393936258278146,6.85449089403973,32.5,0.392284400583156,12.7492430189526,33.1,0.390374917781188,12.9214097785573,12,0.391125901275652,4.69351081530782
"31","CT","$15,000 - $24,999",26.9,0.140427164599054,3.77749072771454,45.2,0.139335755059678,6.29797612869746,32.1,0.143634385201306,4.61066376496192,16.9,0.139194139194139,2.35238095238095,39,0.140713655276762,5.48783255579372,25.1,0.139941319045797,3.5125271080495
"32","CT","$25,000 - $34,999",25.5,0.090037089141834,2.29594577311677,47.3,0.0900363258951739,4.25871821484172,29.1,0.0916455084028533,2.66688429452303,17.1,0.0894819466248038,1.53014128728414,36.9,0.0895221283570798,3.30336653637625,18.1,0.0894246715142238,1.61858655440745
"33","CT","$35,000 - $49,999",24.4,0.122138380867119,2.98017649315769,52.7,0.122470160871821,6.45417747794499,27.7,0.1240478781284,3.43612622415669,18,0.122056514913658,2.19701726844584,36,0.121422267053335,4.37120161392006,22,0.121826763617808,2.68018879959178
"34","CT","$50,000 - $74,999",31,0.161145926589078,4.99552372426141,57.8,0.160742086144266,9.29089257913856,25.2,0.161890944263088,4.07965179542981,21,0.160779696493982,3.37637362637363,36.8,0.162274618585298,5.97170596393897,19.9,0.161882893226177,3.22146957520092
"35","CT","$75,000 or greater",36.7,0.486251438802916,17.845427804067,61.6,0.487415672029061,30.0248053969901,22.6,0.478781284004353,10.8204570184984,25.7,0.488487702773417,12.5541339612768,31.3,0.486067330727525,15.2139074517715,12.5,0.486924352595994,6.08655440744993
"36","DC","$15,000 - $24,999",24,0.1298751950078,3.11700468018721,59.8,0.127540852929454,7.62694300518135,30.3,0.135105204872647,4.0936877076412,20.3,0.126260588947156,2.56308995562727,43.7,0.12901975978303,5.6381635025184,30.5,0.130775254502741,3.98864526233359
"37","DC","$25,000 - $34,999",28.6,0.0791731669266771,2.26435257410296,57.7,0.0773216420884815,4.46145874850538,19.8,0.0860095976375046,1.70299003322259,23.7,0.0770471964501815,1.8260185558693,37.5,0.0802014722975591,3.00755521115847,27.9,0.0794831636648395,2.21758026624902
"38","DC","$35,000 - $49,999",33.6,0.103354134165367,3.47269890795632,57.7,0.103228377839777,5.95627740135512,27.8,0.104466592838686,2.90417128091547,25,0.102864058087939,2.57160145219847,48.8,0.103060829135994,5.0293684618365,20.8,0.101801096319499,2.11746280344558
"39","DC","$50,000 - $74,999",37.9,0.130655226209048,4.95183307332293,50.5,0.133120765245118,6.72259864487844,23.9,0.133259505352529,3.18490217792543,13.8,0.131504638967326,1.81476401774909,32,0.130956993413406,4.19062378922898,14.2,0.131166797180893,1.86256851996868
